  210.87     -47.73
  214.98     -50.87
  219.43     -53.72
  224.28     -56.26
  229.55     -58.50
  235.28     -60.43
  241.47     -62.04
  248.11     -63.32
  255.15     -64.25
  262.50     -64.81
  270.00     -65.00
  277.50     -64.81
  284.85     -64.25
  291.89     -63.32
  298.53     -62.04
  304.72     -60.43
  310.45     -58.50
  315.72     -56.26
  320.57     -53.72
  325.02     -50.87
  329.13     -47.73
  204.74     -48.21
  208.34     -51.77
  212.37     -55.07
  216.93     -58.10
  222.11     -60.85
  228.03     -63.30
  234.79     -65.41
  242.46     -67.14
  251.02     -68.43
  260.30     -69.23
  270.00     -69.50
  279.70     -69.23
  288.98     -68.43
  297.54     -67.14
  305.21     -65.41
  311.97     -63.30
  317.89     -60.85
  323.07     -58.10
  327.63     -55.07
  331.66     -51.77
  335.26     -48.21
  198.82     -48.36
  201.75     -52.26
  205.13     -55.96
  209.08     -59.45
  213.77     -62.71
  219.44     -65.71
  226.36     -68.38
  234.83     -70.67
  245.06     -72.45
  256.99     -73.60
  270.00     -74.00
  283.01     -73.60
  294.94     -72.45
  305.17     -70.67
  313.64     -68.38
  320.56     -65.71
  326.23     -62.71
  330.92     -59.45
  334.87     -55.96
  338.25     -52.26
  341.18     -48.36
  193.17     -48.22
  195.32     -52.38
  197.84     -56.41
  200.89     -60.28
  204.65     -63.99
  209.45     -67.52
  215.74     -70.79
  224.24     -73.74
  235.89     -76.19
  251.40     -77.88
  270.00     -78.50
  288.60     -77.88
  304.11     -76.19
  315.76     -73.74
  324.26     -70.79
  330.55     -67.52
  335.35     -63.99
  339.11     -60.28
  342.16     -56.41
  344.68     -52.38
  346.83     -48.22
  187.79     -47.82
  189.10     -52.17
  190.66     -56.43
 
